0	1,56E-16	0,164647	0,164647
0,001	5,15E-15	0,144407	0,144407
0,002	1,34E-14	0,0989159	0,0989159
0,003	4,26E-14	0,0389373	0,0389373
0,004	9,97E-14	-0,0257958	-0,0257958
0,005	1,77E-13	-0,0882256	-0,0882256
0,006	2,62E-13	-0,143454	-0,143454
0,007	3,42E-13	-0,188283	-0,188283
0,008	3,87E-13	-0,220974	-0,220974
0,009	3,77E-13	-0,240854	-0,240854
0,01	3,08E-13	-0,24779	-0,24779
0,011	2,00E-13	-0,241788	-0,241788
0,012	7,82E-14	-0,222841	-0,222841
0,013	3,02E-14	-0,191061	-0,191061
0,014	1,29E-13	-0,147066	-0,147066
0,015	1,97E-13	-0,092499	-0,092499
0,016	2,25E-13	-0,0304466	-0,0304466
0,017	2,20E-13	0,0343268	0,0343268
0,018	1,98E-13	0,0949429	0,0949429
0,019	1,77E-13	0,141851	0,141851
0,02	1,63E-13	0,164214	0,164214
0,021	1,53E-13	0,155392	0,155392
0,022	1,27E-13	0,118134	0,118134
0,023	9,36E-14	0,062279	0,062279
0,024	5,64E-14	-0,00164716	-0,00164716
0,025	1,45E-14	-0,0656062	-0,0656062
0,026	1,13E-14	-0,123974	-0,123974
0,027	3,44E-14	-0,172948	-0,172948
0,028	5,41E-14	-0,21028	-0,21028
0,029	8,19E-14	-0,234962	-0,234962
0,03	1,40E-13	-0,246716	-0,246716
0,031	2,17E-13	-0,245529	-0,245529
0,032	3,31E-13	-0,231399	-0,231399
0,033	4,53E-13	-0,204361	-0,204361
0,034	5,65E-13	-0,164786	-0,164786
0,035	6,20E-13	-0,113877	-0,113877
0,036	6,11E-13	-0,054149	-0,054149
0,037	5,56E-13	0,0102868	0,0102868
0,038	4,68E-13	0,0734171	0,0734171
0,039	3,61E-13	0,126699	0,126699
0,04	2,44E-13	0,159353	0,159353
0,041	1,29E-13	0,162359	0,162359
0,042	2,24E-14	0,134773	0,134773
0,043	8,90E-14	0,0845272	0,0845272
0,044	2,12E-13	0,022516	0,022516
0,045	3,37E-13	-0,0421995	-0,0421995
0,046	4,63E-13	-0,103181	-0,103181
0,047	5,79E-13	-0,155991	-0,155991
0,048	6,80E-13	-0,197829	-0,197829
0,049	7,26E-13	-0,227278	-0,227278
0,05	6,79E-13	-0,24385	-0,24385
0,051	5,26E-13	-0,247477	-0,247477
0,052	2,84E-13	-0,238165	-0,238165
0,053	2,32E-15	-0,215914	-0,215914
0,054	2,42E-13	-0,18092	-0,18092
0,055	3,78E-13	-0,134013	-0,134013
0,056	4,22E-13	-0,0771766	-0,0771766
0,057	3,68E-13	-0,0139033	-0,0139033
0,058	2,38E-13	0,05056	0,05056
0,059	7,54E-14	0,108682	0,108682
0,06	9,25E-14	0,150299	0,150299
0,061	2,51E-13	0,16499	0,16499
0,062	3,94E-13	0,148244	0,148244
0,063	5,38E-13	0,105166	0,105166
0,064	6,83E-13	0,0463271	0,0463271
0,065	8,23E-13	-0,0182615	-0,0182615
0,066	9,23E-13	-0,0812442	-0,0812442
0,067	9,55E-13	-0,137504	-0,137504
0,068	8,93E-13	-0,183656	-0,183656
0,069	6,97E-13	-0,217809	-0,217809
0,07	3,46E-13	-0,239192	-0,239192
0,071	1,23E-13	-0,247634	-0,247634
0,072	6,31E-13	-0,243137	-0,243137
0,073	1,07E-12	-0,225695	-0,225695
0,074	1,31E-12	-0,19539	-0,19539
0,075	1,31E-12	-0,152756	-0,152756
0,076	1,04E-12	-0,0992918	-0,0992918
0,077	5,49E-13	-0,0379013	-0,0379013
0,078	9,37E-14	0,0268596	0,0268596
0,079	8,24E-13	0,0883943	0,0883943
0,08	1,59E-12	0,137459	0,137459
0,081	2,34E-12	0,16316	0,16316
0,082	3,06E-12	0,158013	0,158013
0,083	3,74E-12	0,123632	0,123632
0,084	4,31E-12	0,069367	0,069367
0,085	4,72E-12	0,0059156	0,0059156
0,086	4,89E-12	-0,0583651	-0,0583651
0,087	4,75E-12	-0,117607	-0,117607
0,088	4,25E-12	-0,167814	-0,167814
0,089	3,43E-12	-0,20657	-0,20657
0,09	2,38E-12	-0,232743	-0,232743
