t	L_x
5 000	9,9419
5 010	9,94263
5 020	9,9403
5 030	9,93703
5 040	9,94089
5 050	9,94395
5 060	9,94091
5 070	9,94109
5 080	9,94132
5 090	9,94027
5 100	9,93957
5 110	9,94088
5 120	9,94039
5 130	9,94388
5 140	9,94172
5 150	9,93904
5 160	9,93925
5 170	9,9417
5 180	9,93932
5 190	9,94276
5 200	9,94353
5 210	9,94117
5 220	9,93959
5 230	9,94003
5 240	9,93981
5 250	9,9421
5 260	9,94253
5 270	9,94075
5 280	9,94267
5 290	9,94066
5 300	9,93778
5 310	9,94016
5 320	9,94418
5 330	9,94136
5 340	9,94161
5 350	9,94087
5 360	9,94054
5 370	9,94008
5 380	9,94065
5 390	9,94027
5 400	9,94469
5 410	9,94302
5 420	9,93843
5 430	9,93923
5 440	9,94179
5 450	9,94043
5 460	9,94144
5 470	9,94342
5 480	9,94174
5 490	9,94114
5 500	9,93921
5 510	9,93893
5 520	9,94229
5 530	9,94356
5 540	9,94062
5 550	9,94195
5 560	9,94125
5 570	9,93874
5 580	9,94004
5 590	9,94313
5 600	9,94262
5 610	9,94225
5 620	9,94103
5 630	9,93962
5 640	9,94129
5 650	9,94018
5 660	9,94061
5 670	9,94394
5 680	9,94404
5 690	9,93911
5 700	9,94
5 710	9,94097
5 720	9,94094
5 730	9,942
5 740	9,94304
5 750	9,94219
5 760	9,94197
5 770	9,93915
5 780	9,93854
5 790	9,94363
5 800	9,94339
5 810	9,94105
5 820	9,94143
5 830	9,9421
5 840	9,93888
5 850	9,94067
5 860	9,94164
5 870	9,94386
5 880	9,94289
5 890	9,94115
5 900	9,93892
5 910	9,94177
5 920	9,94038
5 930	9,94132
5 940	9,94416
5 950	9,94342
5 960	9,93942
5 970	9,93976
5 980	9,9409
5 990	9,94173
6 000	9,94291
6 010	9,9415
6 020	9,94237
6 030	9,94227
6 040	9,93951
6 050	9,93836
6 060	9,94453
6 070	9,9435
6 080	9,94195
6 090	9,94097
6 100	9,94129
6 110	9,93973
6 120	9,94169
6 130	9,94107
6 140	9,94372
6 150	9,94403
6 160	9,94019
6 170	9,93881
6 180	9,94229
6 190	9,94138
6 200	9,94119
6 210	9,9441
6 220	9,94296
6 230	9,94044
6 240	9,93981
6 250	9,94037
6 260	9,94238
6 270	9,94423
6 280	9,94092
6 290	9,94172
6 300	9,94287
6 310	9,9398
6 320	9,93905
6 330	9,94383
6 340	9,94413
6 350	9,94201
6 360	9,94162
6 370	9,94022
6 380	9,94075
6 390	9,94172
6 400	9,9411
6 410	9,94332
6 420	9,94487
6 430	9,94014
6 440	9,93908
6 450	9,9423
6 460	9,94187
6 470	9,9414
6 480	9,94351
6 490	9,94274
6 500	9,94148
6 510	9,94092
6 520	9,93934
6 530	9,94273
6 540	9,94425
6 550	9,94185
6 560	9,94115
6 570	9,94379
6 580	9,93962
6 590	9,9394
6 600	9,94256
6 610	9,94438
6 620	9,94299
6 630	9,9425
6 640	9,93934
6 650	9,94131
6 660	9,94213
6 670	9,94074
6 680	9,94275
6 690	9,9459
6 700	9,94135
6 710	9,93853
6 720	9,94187
6 730	9,9424
6 740	9,94292
6 750	9,94278
6 760	9,94238
6 770	9,94185
6 780	9,94198
6 790	9,93835
